Accuracy for 50 smoothing factors for Naive Bayes is given below:
Iteration		ALPHA					ACCURACY
1		5e-05					0.8666666666666667
2		0.010049					0.9
3		0.020048000000000003					0.9166666666666666
4		0.030047000000000004					0.9166666666666666
5		0.040046000000000005					0.9166666666666666
6		0.050045000000000006					0.9333333333333333
7		0.06004400000000001					0.9333333333333333
8		0.070043					0.9333333333333333
9		0.080042					0.9333333333333333
10		0.09004100000000001					0.9333333333333333
11		0.10004					0.9333333333333333
12		0.110039					0.9333333333333333
13		0.120038					0.9333333333333333
14		0.130037					0.9333333333333333
15		0.140036					0.9333333333333333
16		0.150035					0.9333333333333333
17		0.160034					0.9333333333333333
18		0.17003300000000002					0.9333333333333333
19		0.18003200000000003					0.9333333333333333
20		0.190031					0.9333333333333333
21		0.20003					0.9333333333333333
22		0.21002900000000002					0.9333333333333333
23		0.220028					0.9333333333333333
24		0.230027					0.95
25		0.24002600000000002					0.95
26		0.25002500000000005					0.95
27		0.26002400000000003					0.95
28		0.270023					0.95
29		0.280022					0.95
30		0.29002100000000003					0.95
31		0.30002					0.95
32		0.31001900000000004					0.95
33		0.320018					0.95
34		0.330017					0.95
35		0.34001600000000004					0.95
36		0.350015					0.95
37		0.36001400000000006					0.95
38		0.37001300000000004					0.95
39		0.380012					0.95
40		0.39001100000000005					0.95
41		0.40001000000000003					0.95
42		0.410009					0.95
43		0.42000800000000005					0.95
44		0.43000700000000003					0.95
45		0.440006					0.95
46		0.45000500000000004					0.95
47		0.460004					0.95
48		0.47000300000000006					0.95
49		0.48000200000000004					0.95
50		0.490001					0.95
